country_iso3,year,indicator_key,indicator_code,obs_value
IDN,2021,wgi_rule_of_law,RL.EST,-0.253444284200668
IDN,2022,wgi_rule_of_law,RL.EST,-0.1881303191185
IDN,2023,wgi_rule_of_law,RL.EST,-0.153604462742805
IDN,2024,wgi_rule_of_law,RL.EST,
SGP,2018,wgi_rule_of_law,RL.EST,1.80290043354034
SGP,2019,wgi_rule_of_law,RL.EST,1.83805370330811
SGP,2020,wgi_rule_of_law,RL.EST,1.83543491363525
SGP,2021,wgi_rule_of_law,RL.EST,1.81946074962616
SGP,2022,wgi_rule_of_law,RL.EST,1.77819037437439
SGP,2023,wgi_rule_of_law,RL.EST,1.75317537784576
SGP,2024,wgi_rule_of_law,RL.EST,
VNM,2018,wgi_rule_of_law,RL.EST,-0.0354671441018581
VNM,2019,wgi_rule_of_law,RL.EST,-0.050392884761095
VNM,2020,wgi_rule_of_law,RL.EST,-0.189501881599426
VNM,2021,wgi_rule_of_law,RL.EST,-0.172221630811691
VNM,2022,wgi_rule_of_law,RL.EST,-0.158469453454018
VNM,2023,wgi_rule_of_law,RL.EST,-0.0854718759655952
VNM,2024,wgi_rule_of_law,RL.EST,
IDN,2018,wgi_voice_accountability,VA.EST,0.162210986018181
IDN,2019,wgi_voice_accountability,VA.EST,0.131386235356331
IDN,2020,wgi_voice_accountability,VA.EST,0.0993008315563202
IDN,2021,wgi_voice_accountability,VA.EST,0.149332702159882
IDN,2022,wgi_voice_accountability,VA.EST,0.14396958053112
IDN,2023,wgi_voice_accountability,VA.EST,0.138982817530632
IDN,2024,wgi_voice_accountability,VA.EST,
SGP,2018,wgi_voice_accountability,VA.EST,-0.0758845582604408
SGP,2019,wgi_voice_accountability,VA.EST,-0.206006988883018
SGP,2020,wgi_voice_accountability,VA.EST,-0.203881621360779
SGP,2021,wgi_voice_accountability,VA.EST,-0.13955394923687
SGP,2022,wgi_voice_accountability,VA.EST,-0.0601325668394566
SGP,2023,wgi_voice_accountability,VA.EST,-0.0654119327664375
SGP,2024,wgi_voice_accountability,VA.EST,
VNM,2018,wgi_voice_accountability,VA.EST,-1.47091710567474
VNM,2019,wgi_voice_accountability,VA.EST,-1.40485322475433
VNM,2020,wgi_voice_accountability,VA.EST,-1.37661600112915
VNM,2021,wgi_voice_accountability,VA.EST,-1.30874562263489
VNM,2022,wgi_voice_accountability,VA.EST,-1.28640735149384
VNM,2023,wgi_voice_accountability,VA.EST,-1.24185371398926
VNM,2024,wgi_voice_accountability,VA.EST,
